Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/evcharge/api/SessionsPerPoint/de512cc4-047d-4ea4-b12a-1060dbdfef46/20190901/20190903/,2536,0,1700.0,1907.001813004728,890.4036859994449,13853.623343000436,481.0,35.12199824438794,0.0,1700,1800,1900,2000,2100,2300,4400,7400,13000,14000,14000
POST,/evcharge/api/login/,100,0,4000.0,4099.782754259986,311.7167380005412,8917.701418999968,52.0,1.3849368392897454,0.0,4000,5300,5700,6400,7100,7100,7100,8900,8900,8900,8900
POST,/login/,100,86,13000.0,13507.43374111998,1270.0211760002276,24958.327730999372,185200.16,1.3849368392897454,1.191045681789181,13000,15000,16000,18000,21000,22000,24000,25000,25000,25000,25000
GET,/login/?next=/,100,0,86,163.46154548999948,16.40906000011455,715.8116350001364,4009.0,1.3849368392897454,0.0,87,170,240,300,490,570,710,720,720,720,720
,Aggregated,2836,86,1800.0,2331.884485848728,16.40906000011455,24958.327730999372,7103.643159379408,39.276808762257176,1.191045681789181,1800,1900,1900,2000,2400,7000,13000,15000,23000,25000,25000
